                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.3548,                0.76483,                0.19081,                0.92631,                 1.4313,                0.91472,                0.94444,                0.90636,                0.51009,                0.96853,                      1,                0.96811,                0.75273,                 1.3838,                0.45733,                0.02053,                0.90339,                 1.6799,               0.001703,               0.001703,               0.001703
                     93,                 1.3247,                0.77039,                0.16202,                0.99305,                 1.4918,                0.93738,                0.97222,                0.96667,                0.56434,                0.96452,                      1,                  0.995,                 0.7624,                 1.3154,                0.49218,                0.01697,                0.82783,                 1.5589,              0.0016997,              0.0016997,              0.0016997
                     94,                 1.2773,                0.75303,                0.16487,                0.87918,                 1.3938,                0.96114,                0.97222,                0.96914,                0.59102,                0.98906,                      1,                  0.995,                0.78823,                 1.2571,                0.40926,                0.01055,                0.79989,                  1.508,              0.0016964,              0.0016964,              0.0016964
                     95,                 1.3315,                0.84005,                0.20249,                0.88624,                  1.443,                0.96551,                0.97222,                0.97079,                0.59499,                0.99326,                      1,                  0.995,                0.80809,                 1.2857,                0.46209,                0.00722,                0.83157,                 1.5651,              0.0016931,              0.0016931,              0.0016931
                     96,                  1.344,                 0.7386,                0.18377,                0.93598,                  1.424,                0.93396,                0.94444,                0.94258,                0.56806,                 0.9889,                      1,                  0.995,                 0.7999,                 1.3293,                0.49604,                0.00841,                0.86297,                 1.5988,              0.0016898,              0.0016898,              0.0016898
                     97,                 1.3443,                0.75269,                0.21852,                0.93012,                  1.486,                0.94879,                0.97222,                0.98006,                 0.5509,                0.98909,                      1,                  0.995,                0.81023,                 1.3913,                0.52555,                0.01144,                0.86597,                 1.6503,              0.0016865,              0.0016865,              0.0016865
                     98,                 1.2509,                0.69077,                 0.1543,                0.85524,                 1.3957,                0.94585,                0.97049,                0.98195,                0.55848,                 0.9729,                0.99713,                0.99284,                0.80559,                 1.3273,                0.49764,                0.01899,                0.84227,                 1.6003,              0.0016832,              0.0016832,              0.0016832
                     99,                 1.2353,                0.89822,                 0.1892,                0.84245,                 1.3868,                0.93975,                0.97222,                 0.9722,                0.56256,                 0.9666,                      1,                  0.995,                0.81772,                 1.2948,                 0.3972,                0.01486,                0.86488,                  1.578,              0.0016799,              0.0016799,              0.0016799
                    100,                 1.2879,                0.88973,                0.17465,                0.87006,                 1.4342,                0.94273,                0.97222,                0.96628,                0.59918,                0.96966,                      1,                  0.995,                0.82344,                   1.26,                 0.3539,                0.00939,                0.81864,                 1.5603,              0.0016766,              0.0016766,              0.0016766
                    101,                 1.3283,                0.67697,                  0.175,                0.86947,                 1.4471,                0.88145,                0.97222,                0.94065,                0.57625,                0.90803,                      1,                0.98437,                0.79616,                 1.2689,                0.37373,                0.00969,                 0.9142,                 1.5468,              0.0016733,              0.0016733,              0.0016733
                    102,                 1.2664,                0.59667,                 0.1367,                0.85611,                 1.3907,                0.90126,                0.94444,                  0.923,                0.56728,                0.95428,                      1,                0.99446,                0.80733,                 1.2812,                0.37019,                0.01874,                0.88365,                 1.5586,                0.00167,                0.00167,                0.00167
                    103,                 1.2811,                0.72805,                0.17564,                0.87454,                  1.432,                0.96642,                0.97222,                0.96124,                0.57494,                0.99403,                      1,                  0.995,                0.80894,                 1.3579,                0.39895,                0.02529,                0.78238,                 1.6109,              0.0016667,              0.0016667,              0.0016667
                    104,                 1.2849,                0.69211,                0.13261,                0.84325,                 1.3804,                0.99245,                      1,                  0.995,                0.59558,                0.99245,                      1,                  0.995,                0.82718,                 1.3281,                0.36055,                0.01778,                0.76242,                 1.6038,              0.0016634,              0.0016634,              0.0016634
                    105,                 1.3571,                0.85066,                0.17028,                0.87527,                 1.4393,                0.99279,                      1,                  0.995,                0.59777,                0.99279,                      1,                  0.995,                0.81373,                 1.3432,                0.47247,                0.01204,                 0.7553,                  1.603,              0.0016601,              0.0016601,              0.0016601
                    106,                 1.3151,                0.75111,                0.17082,                0.89756,                  1.403,                0.93307,                0.94444,                0.94253,                  0.591,                0.98796,                      1,                  0.995,                0.84056,                 1.2288,                0.39046,                0.01526,                 0.8244,                 1.5027,              0.0016568,              0.0016568,              0.0016568
                    107,                 1.3935,                0.80266,                0.17894,                0.93347,                   1.46,                  0.917,                0.97222,                0.98575,                0.63683,                 0.9827,                      1,                  0.995,                0.83947,                 1.2879,                0.37397,                0.01331,                0.76193,                  1.556,              0.0016535,              0.0016535,              0.0016535
                    108,                 1.3243,                0.74447,                0.17025,                0.87579,                 1.4031,                0.94473,                 0.9497,                0.97898,                0.64654,                0.98578,                0.97222,                0.99446,                  0.862,                 1.2199,                0.33261,                0.01228,                 0.7447,                 1.4924,              0.0016502,              0.0016502,              0.0016502
                    109,                 1.3037,                0.65602,                0.18179,                0.87088,                 1.4281,                0.89772,                0.91667,                0.95983,                 0.6015,                0.96752,                0.97222,                0.98923,                0.85446,                 1.2193,                0.34342,                0.01293,                0.74125,                 1.5008,              0.0016469,              0.0016469,              0.0016469
                    110,                 1.3229,                0.67198,                0.17789,                0.90957,                 1.4723,                0.93536,                0.97222,                0.94794,                0.58541,                0.96283,                      1,                0.97041,                0.82448,                 1.2893,                0.36409,                0.01433,                0.78804,                 1.5233,              0.0016436,              0.0016436,              0.0016436
                    111,                 1.3333,                0.61388,                0.18766,                0.89907,                 1.4623,                0.98808,                      1,                  0.995,                0.60262,                0.98808,                      1,                  0.995,                0.83014,                 1.3245,                0.37518,                0.01178,                 0.7898,                 1.5821,              0.0016403,              0.0016403,              0.0016403
                    112,                 1.2928,                0.68943,                0.16932,                0.81287,                 1.3901,                0.96442,                0.97222,                 0.9851,                0.60622,                0.99218,                      1,                  0.995,                 0.8285,                 1.2535,                0.39559,                0.00955,                0.75894,                 1.5217,               0.001637,               0.001637,               0.001637
                    113,                 1.2748,                0.62058,                0.16704,                0.83331,                 1.4238,                0.93322,                0.97222,                0.97702,                0.58659,                 0.9603,                      1,                  0.995,                0.82483,                 1.2172,                0.39328,                 0.0074,                0.79011,                 1.4878,              0.0016337,              0.0016337,              0.0016337
                    114,                 1.2108,                0.59937,                0.15284,                  0.812,                 1.3444,                0.87739,                0.97222,                 0.9575,                0.60967,                0.90663,                      1,                0.98658,                0.80599,                 1.2126,                 0.3719,                0.01483,                0.77617,                 1.4781,              0.0016304,              0.0016304,              0.0016304
                    115,                 1.2957,                0.56267,                0.10529,                0.83944,                 1.3945,                0.94287,                0.97222,                 0.9788,                0.60576,                0.97175,                      1,                0.99365,                0.83917,                 1.2743,                0.37672,                0.02196,                0.75319,                 1.5273,              0.0016271,              0.0016271,              0.0016271
                    116,                 1.2738,                0.51686,                0.15583,                0.79561,                 1.4149,                0.81248,                0.91667,                0.93126,                0.59101,                0.83798,                0.94444,                0.96444,                0.77758,                 1.2651,                 0.3614,                0.01693,                0.80994,                 1.5407,              0.0016238,              0.0016238,              0.0016238
                    117,                 1.2988,                0.61731,                0.15387,                0.82837,                  1.399,                0.74097,                0.97222,                0.79157,                0.47882,                0.76259,                      1,                0.82245,                0.65648,                 1.1755,                0.35585,                0.01296,                0.85079,                 1.4972,              0.0016205,              0.0016205,              0.0016205
                    118,                 1.2849,                 0.5865,                0.14065,                0.85015,                 1.4101,                 0.9433,                0.97222,                0.96208,                0.58651,                0.97059,                      1,                  0.995,                0.81685,                 1.2355,                0.36585,                0.01935,                0.82468,                 1.5885,              0.0016172,              0.0016172,              0.0016172
                    119,                 1.3272,                0.64288,                0.15103,                0.86893,                  1.481,                0.96447,                0.97222,                0.96699,                0.60615,                0.99203,                      1,                  0.995,                0.83505,                 1.2257,                0.34047,                0.01591,                0.77773,                 1.5145,              0.0016139,              0.0016139,              0.0016139
                    120,                 1.3027,                0.57412,                 0.1426,                0.85749,                 1.4156,                 0.9658,                0.97222,                 0.9756,                0.63101,                0.99339,                      1,                  0.995,                0.85804,                 1.2723,                0.35685,                0.01358,                0.70165,                 1.5464,              0.0016106,              0.0016106,              0.0016106
                    121,                 1.2478,                0.63002,                0.15709,                0.80337,                 1.4008,                0.96731,                0.97222,                 0.9785,                0.64371,                0.99495,                      1,                  0.995,                0.84915,                 1.2348,                0.36449,                0.00845,                0.69719,                 1.5267,              0.0016073,              0.0016073,              0.0016073
                    122,                 1.2731,                0.66294,                 0.1651,                0.82261,                 1.3716,                0.99407,                      1,                  0.995,                0.64459,                0.99407,                      1,                  0.995,                0.86188,                 1.2276,                0.35133,                0.00826,                0.71665,                 1.4988,               0.001604,               0.001604,               0.001604
                    123,                 1.2441,                0.65649,                0.13054,                0.81233,                 1.3938,                0.99749,                      1,                  0.995,                0.65011,                0.99749,                      1,                  0.995,                0.86499,                 1.1746,                 0.3579,                0.01476,                0.74798,                 1.4373,              0.0016007,              0.0016007,              0.0016007
                    124,                  1.256,                0.70304,                0.14232,                0.86967,                 1.3507,                0.96619,                0.97222,                0.96865,                0.64367,                0.99379,                      1,                  0.995,                0.85851,                  1.201,                0.37678,                0.01135,                0.78682,                 1.4704,              0.0015974,              0.0015974,              0.0015974
                    125,                 1.2667,                0.64523,                 0.1403,                0.89018,                 1.3796,                 0.9631,                0.97222,                0.97134,                  0.657,                0.99106,                      1,                  0.995,                0.86755,                 1.2736,                0.35297,                0.01211,                0.79029,                  1.545,              0.0015941,              0.0015941,              0.0015941
                    126,                 1.2179,                0.60188,                0.10892,                 0.8924,                 1.3401,                0.94354,                0.94444,                0.95327,                0.64584,                      1,                0.99991,                  0.995,                 0.8725,                 1.2712,                0.33243,                0.01485,                0.77782,                 1.5662,              0.0015908,              0.0015908,              0.0015908
                    127,                 1.2142,                0.69545,                0.18014,                0.84525,                  1.348,                0.96639,                0.97222,                0.97287,                0.65843,                0.99435,                      1,                  0.995,                0.85311,                 1.3311,                0.37038,                0.01031,                0.74907,                 1.5948,              0.0015875,              0.0015875,              0.0015875
                    128,                 1.2786,                0.62605,                0.15822,                0.82697,                  1.417,                0.96846,                0.97222,                0.97109,                0.66006,                0.99632,                      1,                  0.995,                0.86532,                 1.2514,                0.40128,                0.01312,                0.72863,                  1.551,              0.0015842,              0.0015842,              0.0015842
                    129,                 1.2795,                0.62523,                0.15437,                0.84806,                 1.4489,                0.93751,                0.94444,                0.94855,                0.62607,                0.99266,                      1,                  0.995,                0.85501,                 1.2703,                0.51492,                0.01475,                0.76199,                 1.5701,              0.0015809,              0.0015809,              0.0015809
                    130,                 1.2541,                0.63913,                0.15912,                0.86557,                 1.3927,                0.96815,                0.97222,                0.97628,                0.61628,                0.99672,                      1,                  0.995,                0.81863,                  1.299,                0.48225,                0.00959,                0.78654,                 1.6018,              0.0015776,              0.0015776,              0.0015776
                    131,                 1.2168,                 0.6351,                0.15337,                0.89065,                 1.3865,                0.97209,                0.96753,                0.99089,                 0.6381,                      1,                  0.995,                  0.995,                0.81636,                 1.2797,                0.39282,                0.01243,                 0.7826,                 1.5777,              0.0015743,              0.0015743,              0.0015743
                    132,                 1.2078,                0.62842,                0.12863,                0.88598,                 1.3341,                0.97045,                0.97222,                 0.9876,                0.64824,                0.99868,                      1,                  0.995,                0.81517,                 1.1849,                0.36425,                0.01239,                0.79429,                 1.5069,               0.001571,               0.001571,               0.001571
                    133,                  1.231,                0.65618,                0.13639,                0.88205,                 1.3858,                0.97272,                0.99066,                0.98824,                0.64674,                 0.9958,                      1,                  0.995,                0.84174,                 1.2239,                0.35804,                0.00771,                0.80677,                 1.4886,              0.0015677,              0.0015677,              0.0015677
                    134,                 1.2063,                0.59408,                0.14638,                 0.8334,                 1.3274,                0.96866,                0.97222,                0.98497,                0.68204,                0.99682,                      1,                  0.995,                0.84452,                 1.2419,                0.35977,                0.00658,                0.76861,                 1.4986,              0.0015644,              0.0015644,              0.0015644
                    135,                 1.3117,                0.59678,                0.15086,                0.85196,                 1.4323,                0.96774,                0.97222,                0.98356,                0.66552,                0.99539,                      1,                  0.995,                0.81974,                 1.2329,                0.37663,                0.00556,                0.79113,                  1.518,              0.0015611,              0.0015611,              0.0015611
                    136,                 1.1937,                0.49617,                0.12703,                0.81139,                 1.3712,                0.96754,                0.97222,                0.98395,                0.64362,                0.99518,                      1,                  0.995,                0.77544,                 1.2864,                0.39205,                0.00462,                0.73816,                  1.537,              0.0015578,              0.0015578,              0.0015578
                    137,                 1.2804,                0.52713,                0.14596,                0.86523,                  1.412,                0.99621,                      1,                  0.995,                0.64174,                0.99621,                      1,                  0.995,                0.79646,                 1.2344,                0.41039,                0.00575,                0.69432,                  1.501,              0.0015545,              0.0015545,              0.0015545
                    138,                 1.3285,                0.69472,                0.16947,                 0.8333,                 1.4298,                0.96628,                0.97222,                0.98053,                 0.6518,                0.99389,                      1,                  0.995,                0.80728,                 1.2574,                0.47434,                0.00745,                0.71944,                 1.5175,              0.0015512,              0.0015512,              0.0015512
                    139,                 1.2839,                0.62238,                0.13873,                0.88823,                 1.4173,                0.96531,                0.97222,                0.97664,                0.62538,                0.99289,                      1,                  0.995,                0.82151,                 1.2928,                0.44115,                 0.0061,                0.76959,                 1.5629,              0.0015479,              0.0015479,              0.0015479
                    140,                 1.2124,                0.71087,                0.13619,                0.81778,                 1.3729,                0.96504,                0.97222,                0.97109,                0.62272,                0.99262,                      1,                  0.995,                0.83195,                 1.3593,                0.38348,                0.00737,                 0.7928,                 1.6362,              0.0015446,              0.0015446,              0.0015446
                    141,                 1.1928,                0.59853,                0.13869,                0.79598,                  1.351,                0.99547,                      1,                  0.995,                0.62504,                0.99547,                      1,                  0.995,                0.80556,                 1.4278,                0.36802,                0.00752,                0.68705,                 1.6746,              0.0015413,              0.0015413,              0.0015413
                    142,                 1.3021,                0.57999,                0.12756,                 0.7637,                 1.4489,                0.99503,                      1,                  0.995,                0.63108,                0.99503,                      1,                  0.995,                0.83929,                 1.4119,                0.35898,                0.00439,                0.66974,                 1.6362,               0.001538,               0.001538,               0.001538
                    143,                 1.3028,                0.65629,                0.13209,                0.78805,                 1.4203,                0.96849,                0.97222,                 0.9675,                0.61347,                0.99628,                      1,                  0.995,                0.85032,                 1.3237,                0.37696,                0.00331,                0.76201,                 1.5647,              0.0015347,              0.0015347,              0.0015347
                    144,                 1.2964,                0.58727,                0.14889,                 0.8327,                 1.3742,                 0.9441,                0.94444,                0.95484,                0.59111,                      1,                0.99942,                  0.995,                 0.8486,                  1.312,                0.40455,                0.00494,                 0.7919,                 1.5733,              0.0015314,              0.0015314,              0.0015314
                    145,                 1.1303,                0.58607,                0.13431,                0.83078,                 1.2867,                0.87213,                0.94733,                0.94928,                0.58821,                0.89744,                0.97226,                0.96887,                0.81226,                 1.3127,                0.37958,                0.00705,                0.84438,                 1.5998,              0.0015281,              0.0015281,              0.0015281
                    146,                 1.2002,                0.55481,                0.15294,                0.84086,                 1.4305,                0.91333,                0.97222,                0.97303,                0.59034,                0.93966,                      1,                0.98991,                 0.8316,                 1.3365,                0.35828,                0.00789,                0.74611,                 1.5992,              0.0015248,              0.0015248,              0.0015248
                    147,                  1.186,                 0.6861,                0.11997,                 0.8215,                 1.3868,                0.96111,                0.97222,                  0.983,                0.61202,                0.98857,                      1,                  0.995,                0.83539,                 1.3032,                0.40629,                0.00517,                0.74856,                 1.5514,              0.0015215,              0.0015215,              0.0015215
                    148,                 1.2966,                0.69683,                0.12531,                0.80549,                 1.4119,                0.97155,                0.97222,                0.99089,                0.63846,                      1,                0.99992,                  0.995,                0.81953,                 1.3409,                0.45971,                0.00364,                0.71504,                  1.592,              0.0015182,              0.0015182,              0.0015182
                    149,                 1.3356,                0.67808,                0.12014,                0.80295,                 1.4278,                0.94847,                0.97222,                0.98593,                0.63142,                0.97557,                      1,                  0.995,                0.82193,                 1.3988,                0.40035,                0.00412,                0.70547,                 1.6499,              0.0015149,              0.0015149,              0.0015149
                    150,                 1.3403,                0.73287,                0.13423,                 0.8156,                 1.4724,                 0.9721,                0.96799,                0.99217,                0.63146,                      1,                0.99497,                  0.995,                0.82706,                 1.4156,                0.34253,                0.00496,                0.73443,                 1.6384,              0.0015116,              0.0015116,              0.0015116
                    151,                 1.2062,                0.70844,                0.15361,                  0.801,                  1.368,                0.97165,                0.97222,                0.99053,                0.61666,                      1,                0.99975,                  0.995,                0.83865,                 1.3993,                0.33647,                0.00619,                 0.7548,                 1.6193,              0.0015083,              0.0015083,              0.0015083
                    152,                 1.2523,                0.61726,                0.13792,                0.84935,                 1.3678,                0.96653,                0.97222,                0.99131,                0.60921,                0.99443,                      1,                  0.995,                0.84723,                 1.3678,                0.33504,                0.00702,                0.75752,                 1.5818,               0.001505,               0.001505,               0.001505
                    153,                 1.2067,                0.66597,                0.13002,                0.81379,                 1.3916,                 0.9606,                0.97222,                0.99096,                0.57651,                0.98805,                      1,                  0.995,                0.86368,                 1.3642,                0.33824,                0.00591,                0.74293,                 1.5841,              0.0015017,              0.0015017,              0.0015017
                    154,                 1.2396,                0.61085,                0.13554,                0.78446,                 1.3452,                0.96538,                0.97222,                0.99089,                0.58999,                0.99313,                      1,                  0.995,                 0.8547,                 1.4016,                0.34053,                0.00508,                0.78737,                 1.6227,              0.0014984,              0.0014984,              0.0014984
                    155,                 1.2044,                0.60333,                0.11108,                0.78829,                 1.3457,                0.95837,                0.97222,                  0.983,                0.62353,                0.98761,                      1,                  0.995,                0.85974,                 1.4287,                 0.3527,                0.00385,                0.76712,                 1.7128,              0.0014951,              0.0014951,              0.0014951
                    156,                 1.2324,                0.64145,                 0.1231,                0.80303,                 1.3922,                0.97211,                0.96827,                0.97924,                0.61755,                      1,                0.99538,                  0.995,                0.84402,                 1.3856,                0.37676,                0.00409,                0.77678,                 1.6547,              0.0014918,              0.0014918,              0.0014918
                    157,                 1.2426,                0.66786,                0.14082,                0.83734,                 1.3958,                0.96213,                0.97222,                0.98311,                0.56559,                0.98962,                      1,                  0.995,                0.83091,                 1.4299,                 0.3873,                0.00623,                0.78792,                 1.6601,              0.0014885,              0.0014885,              0.0014885
                    158,                 1.2362,                0.57306,                0.14513,                0.83864,                 1.4281,                0.96011,                0.97222,                 0.9785,                0.60795,                0.98755,                      1,                  0.995,                0.81967,                 1.3274,                0.40473,                  0.009,                0.84009,                 1.5776,              0.0014852,              0.0014852,              0.0014852
                    159,                 1.3032,                0.63422,                0.14248,                0.88752,                 1.4122,                0.94503,                0.97222,                 0.9785,                0.61449,                0.97258,                      1,                  0.995,                0.83375,                 1.3694,                0.38629,                0.00999,                0.83089,                  1.607,              0.0014819,              0.0014819,              0.0014819
                    160,                 1.2453,                0.53892,                0.12235,                0.84597,                 1.4051,                0.96792,                0.97222,                 0.9727,                0.62608,                0.99575,                      1,                  0.995,                0.84798,                 1.2696,                0.40947,                 0.0101,                0.86101,                 1.5637,              0.0014786,              0.0014786,              0.0014786
                    161,                 1.1973,                0.56913,                0.14066,                0.83342,                 1.3855,                0.94018,                0.94444,                0.95468,                0.60425,                0.99582,                      1,                  0.995,                0.84953,                 1.2878,                0.38545,                0.00996,                0.89632,                 1.5732,              0.0014753,              0.0014753,              0.0014753
                    162,                  1.152,                0.61802,                0.09991,                0.80132,                 1.3672,                0.96547,                0.97222,                 0.9785,                0.62893,                0.99305,                      1,                  0.995,                0.84098,                 1.3512,                0.37936,                0.00718,                0.77121,                 1.6489,               0.001472,               0.001472,               0.001472
                    163,                 1.2138,                0.54821,                0.13078,                0.77816,                 1.3533,                0.96624,                0.97222,                0.97593,                0.62244,                0.99385,                      1,                  0.995,                0.83271,                 1.3643,                0.36995,                0.00696,                 0.7217,                 1.6613,              0.0014687,              0.0014687,              0.0014687
                    164,                 1.2072,                0.48935,                0.15208,                0.80008,                 1.4061,                0.96733,                0.97222,                0.97147,                0.58503,                0.99497,                      1,                  0.995,                 0.8414,                 1.3289,                0.35664,                0.00431,                0.79065,                 1.6146,              0.0014654,              0.0014654,              0.0014654
                    165,                 1.2435,                0.65625,                0.11067,                 0.8215,                 1.3752,                0.96722,                0.97222,                0.97008,                0.60295,                0.99485,                      1,                  0.995,                0.83155,                 1.3291,                0.42637,                0.00285,                0.83712,                 1.6381,              0.0014621,              0.0014621,              0.0014621
                    166,                 1.2204,                 0.5323,                0.13694,                0.81783,                 1.4109,                0.96656,                0.97222,                0.98395,                0.62212,                0.99418,                      1,                  0.995,                0.82875,                   1.44,                0.40351,                0.00384,                0.77321,                   1.75,              0.0014588,              0.0014588,              0.0014588
                    167,                 1.2516,                 0.5874,                0.12428,                0.81854,                 1.4343,                0.96648,                0.97222,                0.98437,                0.57777,                0.99424,                      1,                  0.995,                0.84141,                 1.4429,                0.39541,                  0.006,                0.75953,                 1.7414,              0.0014555,              0.0014555,              0.0014555
                    168,                 1.2239,                0.54271,                0.12244,                 0.8174,                 1.3708,                0.96647,                0.97222,                0.98053,                0.60705,                0.99408,                      1,                  0.995,                0.85703,                  1.364,                0.36907,                0.00464,                0.77594,                 1.7108,              0.0014522,              0.0014522,              0.0014522
                    169,                 1.2117,                 0.5613,                  0.105,                0.83246,                 1.3578,                0.96025,                0.97222,                0.98239,                0.59986,                0.98769,                      1,                  0.995,                0.85127,                 1.3966,                0.37503,                0.00485,                 0.7812,                 1.7109,              0.0014489,              0.0014489,              0.0014489
                    170,                 1.2226,                0.54192,                0.12131,                0.80533,                  1.362,                0.96111,                0.97222,                 0.9827,                0.60976,                0.98857,                      1,                  0.995,                0.85377,                 1.3216,                0.39142,                0.00741,                0.78078,                 1.6544,              0.0014456,              0.0014456,              0.0014456
                    171,                 1.2046,                0.60084,                 0.1499,                0.82134,                 1.3424,                0.96609,                0.97222,                0.98322,                0.62626,                0.99413,                      1,                  0.995,                0.83435,                 1.3145,                0.37744,                 0.0085,                0.77674,                 1.6397,              0.0014423,              0.0014423,              0.0014423
                    172,                 1.1966,                0.60254,                0.11408,                 0.7916,                 1.3933,                0.96275,                      1,                0.99284,                0.62632,                0.96275,                      1,                0.99284,                0.81181,                 1.3386,                0.39766,                0.00754,                0.76053,                  1.593,               0.001439,               0.001439,               0.001439
                    173,                 1.1615,                 0.6454,                0.14452,                0.80173,                 1.3419,                0.98186,                      1,                  0.995,                0.63401,                0.98186,                      1,                  0.995,                0.81993,                 1.3595,                0.43627,                 0.0077,                0.72192,                   1.58,              0.0014357,              0.0014357,              0.0014357
                    174,                 1.1418,                0.46187,                0.14772,                0.74303,                 1.3388,                0.99288,                      1,                  0.995,                0.61633,                0.99288,                      1,                  0.995,                0.83239,                 1.3347,                 0.4109,                 0.0066,                0.69722,                 1.5543,              0.0014324,              0.0014324,              0.0014324
                    175,                 1.1806,                 0.6188,                0.12547,                0.74314,                 1.3092,                0.96716,                0.97222,                0.97923,                0.60578,                 0.9948,                      1,                  0.995,                0.78916,                 1.3276,                 0.5118,                0.00692,                0.68042,                 1.5537,              0.0014291,              0.0014291,              0.0014291
                    176,                 1.1595,                0.62814,                0.13735,                0.76918,                 1.3257,                0.93829,                0.97222,                0.98048,                0.57608,                0.97617,                      1,                  0.995,                0.83733,                 1.4667,                0.43598,                0.01015,                0.70668,                 1.6778,              0.0014258,              0.0014258,              0.0014258
                    177,                 1.1777,                0.59771,                0.12062,                0.77247,                 1.3376,                0.97197,                0.96335,                0.96967,                0.59393,                      1,                0.98934,                  0.995,                0.83583,                 1.4434,                0.38292,                0.01022,                0.71786,                 1.6721,              0.0014225,              0.0014225,              0.0014225
                    178,                 1.1484,                0.60639,                0.11834,                0.72581,                 1.3309,                0.99402,                      1,                  0.995,                0.61408,                0.99402,                      1,                  0.995,                0.83584,                 1.4325,                0.36142,                0.00547,                0.70924,                 1.6995,              0.0014192,              0.0014192,              0.0014192
                    179,                 1.1728,                0.52437,                0.12611,                 0.7293,                 1.3105,                0.99644,                      1,                  0.995,                0.60683,                0.99644,                      1,                  0.995,                0.82948,                 1.4326,                0.37491,                0.00337,                0.67685,                 1.6825,              0.0014159,              0.0014159,              0.0014159
                    180,                 1.1593,                0.60729,                0.15565,                0.72453,                 1.3262,                0.99107,                      1,                  0.995,                0.59083,                0.99107,                      1,                  0.995,                0.83322,                 1.3904,                0.38486,                0.00324,                0.71044,                 1.6892,              0.0014126,              0.0014126,              0.0014126
                    181,                 1.1595,                0.63476,                0.09106,                0.72748,                 1.3334,                 0.9671,                0.97222,                0.97131,                0.59113,                0.99473,                      1,                  0.995,                0.86174,                  1.376,                0.35951,                0.00392,                0.78257,                 1.7069,              0.0014093,              0.0014093,              0.0014093
                    182,                 1.1015,                0.64986,                0.12773,                0.68001,                 1.3041,                0.99663,                      1,                  0.995,                0.60708,                0.99663,                      1,                  0.995,                 0.8546,                  1.398,                0.34189,                0.00465,                0.72424,                 1.6692,               0.001406,               0.001406,               0.001406
                    183,                 1.1981,                 0.4902,                0.10317,                 0.6871,                 1.3534,                0.99272,                      1,                  0.995,                0.63092,                0.99272,                      1,                  0.995,                0.85963,                 1.2947,                 0.3508,                0.00273,                0.71348,                 1.5879,              0.0014027,              0.0014027,              0.0014027
                    184,                 1.2081,                 0.5469,                0.10936,                0.73682,                 1.3544,                0.93641,                0.94444,                0.95039,                0.56665,                 0.9915,                      1,                  0.995,                0.85017,                 1.4474,                0.38063,                0.00329,                0.76892,                  1.796,              0.0013994,              0.0013994,              0.0013994
