                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.6409,                0.98569,                0.30182,                 1.0563,                  1.598,                0.84361,                0.80556,                0.90465,                0.52585,                0.91124,                0.83333,                0.95075,                0.62553,                  1.316,                0.82832,                0.02434,                 2.8527,                  1.668,               0.001934,               0.001934,               0.001934
                     23,                 1.5485,                 1.1285,                0.32353,                  1.048,                 1.5398,                0.52753,                0.97222,                0.72839,                0.37862,                0.52753,                0.97222,                0.72839,                0.57053,                 1.4221,                 0.6997,                0.03189,                 1.6352,                 1.7416,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.5101,                 1.1368,                0.35944,                 1.0473,                 1.6013,                0.71581,                0.90966,                0.84357,                0.46903,                0.69395,                0.88189,                0.75761,                0.54227,                   1.28,                0.76485,                0.02513,                 1.6594,                 1.6231,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.5076,                0.96229,                0.29967,                 1.0333,                 1.5804,                0.88464,                      1,                0.95247,                0.54313,                0.88464,                      1,                0.95247,                0.62462,                 1.4005,                0.75319,                0.02624,                  1.236,                 1.7214,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.4998,                 1.1364,                0.31116,                 1.0648,                 1.5677,                0.75855,                      1,                0.81298,                0.43683,                0.75855,                      1,                0.81298,                0.61872,                 1.3485,                0.65195,                0.02265,                 1.2916,                 1.6619,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.5532,                 1.1193,                0.33288,                 1.0286,                 1.6206,                0.52376,                      1,                0.55544,                0.25542,                0.52376,                      1,                0.55544,                0.38078,                 1.4601,                0.71395,                0.02713,                 1.5069,                 1.7217,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.5893,                 1.1275,                 0.2897,                 0.9743,                 1.5874,                0.90856,                0.82809,                0.88614,                0.39708,                      1,                0.91143,                0.99228,                0.67318,                 1.4247,                0.81612,                 0.0267,                 2.2817,                 1.6715,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.5287,                0.95614,                 0.2972,                 1.0477,                 1.5585,                0.97128,                0.93955,                0.97796,                0.53805,                      1,                0.96733,                  0.995,                0.70836,                 1.2063,                 0.9033,                0.02825,                 2.0332,                 1.5996,              0.0019109,              0.0019109,              0.0019109
                     30,                  1.517,                 1.0381,                0.31396,                 1.0737,                 1.5637,                0.94434,                0.94269,                0.98163,                0.53957,                0.94434,                0.94269,                0.97632,                0.66555,                 1.2991,                0.60777,                0.02346,                  1.841,                 1.6783,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.4706,                0.89043,                0.29198,                 1.0073,                  1.505,                0.97202,                0.96505,                0.97079,                0.51772,                      1,                0.99282,                  0.995,                0.74089,                 1.5011,                0.57841,                0.02947,                 1.1011,                 1.8542,              0.0019043,              0.0019043,              0.0019043
