                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0302,                   4.75,                0.73397,                 7.0872,                 2.9192,                0.01101,                0.94444,                0.05131,                0.01924,                0.01004,                0.86111,                0.04734,                0.00959,                 1.8807,                 4.1226,                 0.7157,                 3.2474,                 2.4512,                0.00014,                0.00014,                0.00014
                      2,                  2.045,                 4.1968,                0.69995,                 2.7587,                 2.1878,                0.75951,                0.72222,                0.78065,                0.34557,                0.76791,                0.73547,                0.78225,                0.21419,                 1.6954,                  3.862,                0.67616,                 1.8659,                 2.1631,              0.0002505,              0.0002505,              0.0002505
                      3,                 1.6618,                 3.0188,                 0.6066,                 1.5657,                 1.7452,                0.85445,                0.86111,                0.92711,                0.46135,                0.85445,                0.86111,                0.92711,                0.30515,                 1.6854,                 3.3334,                0.64373,                 1.1518,                 1.9237,              0.0003082,              0.0003082,              0.0003082
                      4,                 1.7365,                 2.3853,                0.54131,                 1.1942,                 1.7519,                0.92139,                0.97683,                0.99013,                0.44027,                 0.9711,                0.93373,                0.97077,                0.36334,                 1.9198,                 2.9226,                0.60309,                0.90211,                 2.1305,              0.0003131,              0.0003131,              0.0003131
                      5,                  1.586,                 2.2324,                0.52994,                 1.1803,                 1.6594,                 0.9338,                0.88889,                 0.9773,                0.37488,                 0.9338,                0.88889,                 0.9773,                0.35538,                 1.8324,                 2.7381,                0.55101,                0.96137,                 2.1325,              0.0002652,              0.0002652,              0.0002652
                      6,                 1.5865,                 2.1177,                0.52481,                  1.052,                 1.6236,                0.91372,                0.88262,                0.95099,                0.39828,                0.85004,                      1,                0.97143,                0.43232,                 1.8743,                 2.4169,                0.49265,                 1.1135,                 2.0662,              0.0001645,              0.0001645,              0.0001645
